M,bootstrap_replicates,cutoff,factor_cluster_ci95_low,factor_mean_difference,lminus_cluster_ci95_low,lminus_mean_difference,model,noninferior_at_0_10,omitted_N,omitted_layers,remaining_N_clusters
8,5000,0,-0.109375,-0.046875,-0.109375,-0.046875,A_uniform_hard_box,False,55,2,7
8,5000,0,-0.09598214285714286,-0.04241071428571429,-0.09598214285714286,-0.04241071428571429,A_uniform_hard_box,True,65,2,7
8,5000,0,-0.14285714285714285,-0.07366071428571429,-0.14285714285714285,-0.07366071428571429,A_uniform_hard_box,False,85,2,7
8,5000,0,-0.14285714285714285,-0.07366071428571429,-0.14285714285714285,-0.07366071428571429,A_uniform_hard_box,False,95,2,7
8,5000,0,-0.13392857142857142,-0.05803571428571429,-0.125,-0.05803571428571429,A_uniform_hard_box,False,115,2,7
8,5000,0,-0.14285714285714285,-0.07366071428571429,-0.14285714285714285,-0.07366071428571429,A_uniform_hard_box,False,119,2,7
8,5000,0,-0.14285714285714285,-0.07366071428571429,-0.14732142857142858,-0.07366071428571429,A_uniform_hard_box,False,133,2,7
8,5000,0,-0.14285714285714285,-0.07366071428571429,-0.14285714285714285,-0.07366071428571429,A_uniform_hard_box,False,161,2,7
8,5000,1,-0.013392857142857142,-0.004464285714285714,-0.013392857142857142,-0.004464285714285714,A_uniform_hard_box,True,55,1,7
8,5000,1,-0.03125,-0.013392857142857142,-0.03125,-0.013392857142857142,A_uniform_hard_box,True,65,1,7
8,5000,1,-0.03125,-0.013392857142857142,-0.03125,-0.013392857142857142,A_uniform_hard_box,True,85,1,7
8,5000,1,-0.03125,-0.013392857142857142,-0.03125,-0.013392857142857142,A_uniform_hard_box,True,95,1,7
8,5000,1,-0.026785714285714284,-0.008928571428571428,-0.026785714285714284,-0.008928571428571428,A_uniform_hard_box,True,115,1,7
8,5000,1,-0.03125,-0.013392857142857142,-0.03125,-0.013392857142857142,A_uniform_hard_box,True,119,1,7
8,5000,1,-0.03125,-0.013392857142857142,-0.03125,-0.013392857142857142,A_uniform_hard_box,True,133,1,7
8,5000,1,-0.03125,-0.013392857142857142,-0.03125,-0.013392857142857142,A_uniform_hard_box,True,161,1,7
8,5000,0,-0.109375,-0.04241071428571429,-0.109375,-0.04241071428571429,B_exact_finite_discrete_gaussian,False,55,2,7
8,5000,0,-0.06919642857142858,-0.029017857142857144,-0.06919642857142858,-0.029017857142857144,B_exact_finite_discrete_gaussian,True,65,2,7
8,5000,0,-0.13175223214285714,-0.0625,-0.12946428571428573,-0.0625,B_exact_finite_discrete_gaussian,False,85,2,7
8,5000,0,-0.13392857142857142,-0.0625,-0.12946428571428573,-0.0625,B_exact_finite_discrete_gaussian,False,95,2,7
8,5000,0,-0.12723214285714285,-0.05357142857142857,-0.12053571428571429,-0.05357142857142857,B_exact_finite_discrete_gaussian,False,115,2,7
8,5000,0,-0.13169642857142858,-0.0625,-0.12946428571428573,-0.0625,B_exact_finite_discrete_gaussian,False,119,2,7
8,5000,0,-0.12946428571428573,-0.0625,-0.12946428571428573,-0.0625,B_exact_finite_discrete_gaussian,False,133,2,7
8,5000,0,-0.12946428571428573,-0.0625,-0.12946428571428573,-0.0625,B_exact_finite_discrete_gaussian,False,161,2,7
8,5000,1,0.0,0.002232142857142857,0.0,0.002232142857142857,B_exact_finite_discrete_gaussian,True,55,1,7
8,5000,1,-0.013392857142857142,-0.002232142857142857,-0.013392857142857142,-0.002232142857142857,B_exact_finite_discrete_gaussian,True,65,1,7
8,5000,1,-0.013392857142857142,-0.002232142857142857,-0.013392857142857142,-0.002232142857142857,B_exact_finite_discrete_gaussian,True,85,1,7
8,5000,1,-0.013392857142857142,-0.002232142857142857,-0.013392857142857142,-0.002232142857142857,B_exact_finite_discrete_gaussian,True,95,1,7
8,5000,1,-0.013392857142857142,-0.004464285714285714,-0.013392857142857142,-0.004464285714285714,B_exact_finite_discrete_gaussian,True,115,1,7
8,5000,1,-0.013392857142857142,-0.002232142857142857,-0.013392857142857142,-0.002232142857142857,B_exact_finite_discrete_gaussian,True,119,1,7
8,5000,1,-0.013392857142857142,-0.002232142857142857,-0.013392857142857142,-0.002232142857142857,B_exact_finite_discrete_gaussian,True,133,1,7
8,5000,1,-0.013392857142857142,-0.002232142857142857,-0.013392857142857142,-0.002232142857142857,B_exact_finite_discrete_gaussian,True,161,1,7
16,5000,0,-0.2544642857142857,-0.10714285714285714,-0.2544642857142857,-0.10714285714285714,A_uniform_hard_box,False,55,3,7
16,5000,0,-0.24107142857142858,-0.10044642857142858,-0.24107142857142858,-0.10044642857142858,A_uniform_hard_box,False,65,3,7
16,5000,0,-0.32142857142857145,-0.16741071428571427,-0.32142857142857145,-0.16741071428571427,A_uniform_hard_box,False,85,3,7
16,5000,0,-0.32142857142857145,-0.16741071428571427,-0.31473214285714285,-0.16741071428571427,A_uniform_hard_box,False,95,3,7
16,5000,0,-0.2686941964285711,-0.12723214285714285,-0.26785714285714285,-0.12723214285714285,A_uniform_hard_box,False,115,3,7
16,5000,0,-0.31473214285714285,-0.16741071428571427,-0.31473214285714285,-0.16741071428571427,A_uniform_hard_box,False,119,3,7
16,5000,0,-0.32142857142857145,-0.16741071428571427,-0.32142857142857145,-0.16741071428571427,A_uniform_hard_box,False,133,3,7
16,5000,0,-0.328125,-0.16741071428571427,-0.31473214285714285,-0.16741071428571427,A_uniform_hard_box,False,161,3,7
16,5000,1,-0.10714285714285714,-0.05133928571428571,-0.10714285714285714,-0.05133928571428571,A_uniform_hard_box,False,55,2,7
16,5000,1,-0.19196428571428573,-0.08035714285714286,-0.19196428571428573,-0.08035714285714286,A_uniform_hard_box,False,65,2,7
16,5000,1,-0.21875,-0.10714285714285714,-0.21875,-0.10714285714285714,A_uniform_hard_box,False,85,2,7
16,5000,1,-0.21875,-0.10714285714285714,-0.21875,-0.10714285714285714,A_uniform_hard_box,False,95,2,7
16,5000,1,-0.19419642857142858,-0.08258928571428571,-0.19419642857142858,-0.08258928571428571,A_uniform_hard_box,False,115,2,7
16,5000,1,-0.21875,-0.10714285714285714,-0.21875,-0.10714285714285714,A_uniform_hard_box,False,119,2,7
16,5000,1,-0.21875,-0.10714285714285714,-0.21875,-0.10714285714285714,A_uniform_hard_box,False,133,2,7
16,5000,1,-0.21875,-0.10714285714285714,-0.21875,-0.10714285714285714,A_uniform_hard_box,False,161,2,7
16,5000,2,-0.006696428571428571,-0.002232142857142857,-0.006696428571428571,-0.002232142857142857,A_uniform_hard_box,True,55,1,7
16,5000,2,-0.015625,-0.006696428571428571,-0.015625,-0.006696428571428571,A_uniform_hard_box,True,65,1,7
16,5000,2,-0.015625,-0.006696428571428571,-0.015625,-0.006696428571428571,A_uniform_hard_box,True,85,1,7
16,5000,2,-0.015625,-0.006696428571428571,-0.015625,-0.006696428571428571,A_uniform_hard_box,True,95,1,7
16,5000,2,-0.013392857142857142,-0.004464285714285714,-0.013392857142857142,-0.004464285714285714,A_uniform_hard_box,True,115,1,7
16,5000,2,-0.015625,-0.006696428571428571,-0.015625,-0.006696428571428571,A_uniform_hard_box,True,119,1,7
16,5000,2,-0.015625,-0.006696428571428571,-0.015625,-0.006696428571428571,A_uniform_hard_box,True,133,1,7
16,5000,2,-0.015625,-0.006696428571428571,-0.015625,-0.006696428571428571,A_uniform_hard_box,True,161,1,7
16,5000,0,-0.13169642857142858,-0.05580357142857143,-0.13169642857142858,-0.05580357142857143,B_exact_finite_discrete_gaussian,False,55,3,7
16,5000,0,-0.0625,-0.026785714285714284,-0.0625,-0.026785714285714284,B_exact_finite_discrete_gaussian,True,65,3,7
16,5000,0,-0.140625,-0.06473214285714286,-0.140625,-0.06473214285714286,B_exact_finite_discrete_gaussian,False,85,3,7
16,5000,0,-0.140625,-0.06473214285714286,-0.140625,-0.06473214285714286,B_exact_finite_discrete_gaussian,False,95,3,7
16,5000,0,-0.12276785714285714,-0.046875,-0.12276785714285714,-0.046875,B_exact_finite_discrete_gaussian,False,115,3,7
16,5000,0,-0.140625,-0.06473214285714286,-0.140625,-0.06473214285714286,B_exact_finite_discrete_gaussian,False,119,3,7
16,5000,0,-0.140625,-0.06473214285714286,-0.140625,-0.06473214285714286,B_exact_finite_discrete_gaussian,False,133,3,7
16,5000,0,-0.13844866071428572,-0.06473214285714286,-0.140625,-0.06473214285714286,B_exact_finite_discrete_gaussian,False,161,3,7
16,5000,1,-0.07142857142857142,-0.033482142857142856,-0.07142857142857142,-0.033482142857142856,B_exact_finite_discrete_gaussian,True,55,2,7
16,5000,1,-0.05585937499999998,-0.024553571428571428,-0.05580357142857143,-0.024553571428571428,B_exact_finite_discrete_gaussian,True,65,2,7
16,5000,1,-0.08258928571428571,-0.04241071428571429,-0.08258928571428571,-0.04241071428571429,B_exact_finite_discrete_gaussian,True,85,2,7
16,5000,1,-0.08258928571428571,-0.04241071428571429,-0.08258928571428571,-0.04241071428571429,B_exact_finite_discrete_gaussian,True,95,2,7
16,5000,1,-0.0625,-0.026785714285714284,-0.0625,-0.026785714285714284,B_exact_finite_discrete_gaussian,True,115,2,7
16,5000,1,-0.08482142857142858,-0.04241071428571429,-0.08258928571428571,-0.04241071428571429,B_exact_finite_discrete_gaussian,True,119,2,7
16,5000,1,-0.08482142857142858,-0.04241071428571429,-0.08258928571428571,-0.04241071428571429,B_exact_finite_discrete_gaussian,True,133,2,7
16,5000,1,-0.08258928571428571,-0.04241071428571429,-0.08482142857142858,-0.04241071428571429,B_exact_finite_discrete_gaussian,True,161,2,7
16,5000,2,-0.006696428571428571,-0.002232142857142857,-0.006696428571428571,-0.002232142857142857,B_exact_finite_discrete_gaussian,True,55,1,7
16,5000,2,-0.008928571428571428,-0.004464285714285714,-0.008928571428571428,-0.004464285714285714,B_exact_finite_discrete_gaussian,True,65,1,7
16,5000,2,-0.008928571428571428,-0.004464285714285714,-0.008928571428571428,-0.004464285714285714,B_exact_finite_discrete_gaussian,True,85,1,7
16,5000,2,-0.008928571428571428,-0.004464285714285714,-0.011160714285714286,-0.004464285714285714,B_exact_finite_discrete_gaussian,True,95,1,7
16,5000,2,-0.006696428571428571,-0.002232142857142857,-0.006696428571428571,-0.002232142857142857,B_exact_finite_discrete_gaussian,True,115,1,7
16,5000,2,-0.008928571428571428,-0.004464285714285714,-0.008928571428571428,-0.004464285714285714,B_exact_finite_discrete_gaussian,True,119,1,7
16,5000,2,-0.008928571428571428,-0.004464285714285714,-0.008928571428571428,-0.004464285714285714,B_exact_finite_discrete_gaussian,True,133,1,7
16,5000,2,-0.008928571428571428,-0.004464285714285714,-0.011160714285714286,-0.004464285714285714,B_exact_finite_discrete_gaussian,True,161,1,7
32,5000,0,-0.29910714285714285,-0.13392857142857142,-0.31919642857142855,-0.13392857142857142,A_uniform_hard_box,False,55,4,7
32,5000,0,-0.24107142857142858,-0.11160714285714286,-0.24107142857142858,-0.11160714285714286,A_uniform_hard_box,False,65,4,7
32,5000,0,-0.36830357142857145,-0.19419642857142858,-0.3661272321428571,-0.19419642857142858,A_uniform_hard_box,False,85,4,7
32,5000,0,-0.36830357142857145,-0.19419642857142858,-0.3794642857142857,-0.19419642857142858,A_uniform_hard_box,False,95,4,7
32,5000,0,-0.3236607142857143,-0.14285714285714285,-0.3236607142857143,-0.14285714285714285,A_uniform_hard_box,False,115,4,7
32,5000,0,-0.375,-0.19419642857142858,-0.375,-0.19419642857142858,A_uniform_hard_box,False,119,4,7
32,5000,0,-0.37064732142857143,-0.19419642857142858,-0.36830357142857145,-0.19419642857142858,A_uniform_hard_box,False,133,4,7
32,5000,0,-0.368359375,-0.19419642857142858,-0.375,-0.19419642857142858,A_uniform_hard_box,False,161,4,7
32,5000,1,-0.1875,-0.09375,-0.1875,-0.09375,A_uniform_hard_box,False,55,3,7
32,5000,1,-0.1875,-0.09375,-0.1875,-0.09375,A_uniform_hard_box,False,65,3,7
32,5000,1,-0.28125,-0.140625,-0.28125,-0.140625,A_uniform_hard_box,False,85,3,7
32,5000,1,-0.28125,-0.140625,-0.28125,-0.140625,A_uniform_hard_box,False,95,3,7
32,5000,1,-0.1875,-0.09375,-0.1875,-0.09375,A_uniform_hard_box,False,115,3,7
32,5000,1,-0.28125,-0.140625,-0.28125,-0.140625,A_uniform_hard_box,False,119,3,7
32,5000,1,-0.28125,-0.140625,-0.28125,-0.140625,A_uniform_hard_box,False,133,3,7
32,5000,1,-0.28125,-0.140625,-0.28125,-0.140625,A_uniform_hard_box,False,161,3,7
32,5000,2,-0.07366071428571429,-0.029017857142857144,-0.07366071428571429,-0.029017857142857144,A_uniform_hard_box,True,55,2,7
32,5000,2,-0.11607142857142858,-0.05133928571428571,-0.11607142857142858,-0.05133928571428571,A_uniform_hard_box,False,65,2,7
32,5000,2,-0.12276785714285714,-0.05803571428571429,-0.12276785714285714,-0.05803571428571429,A_uniform_hard_box,False,85,2,7
32,5000,2,-0.11830357142857142,-0.05803571428571429,-0.12276785714285714,-0.05803571428571429,A_uniform_hard_box,False,95,2,7
32,5000,2,-0.09375,-0.03571428571428571,-0.09375,-0.03571428571428571,A_uniform_hard_box,True,115,2,7
32,5000,2,-0.11830357142857142,-0.05803571428571429,-0.11830357142857142,-0.05803571428571429,A_uniform_hard_box,False,119,2,7
32,5000,2,-0.11830357142857142,-0.05803571428571429,-0.12276785714285714,-0.05803571428571429,A_uniform_hard_box,False,133,2,7
32,5000,2,-0.12276785714285714,-0.05803571428571429,-0.11830357142857142,-0.05803571428571429,A_uniform_hard_box,False,161,2,7
32,5000,3,0.0,0.0,0.0,0.0,A_uniform_hard_box,True,55,1,7
32,5000,3,-0.020089285714285716,-0.006696428571428571,-0.020089285714285716,-0.006696428571428571,A_uniform_hard_box,True,65,1,7
32,5000,3,-0.020089285714285716,-0.006696428571428571,-0.020089285714285716,-0.006696428571428571,A_uniform_hard_box,True,85,1,7
32,5000,3,-0.020089285714285716,-0.006696428571428571,-0.020089285714285716,-0.006696428571428571,A_uniform_hard_box,True,95,1,7
32,5000,3,-0.020089285714285716,-0.006696428571428571,-0.020089285714285716,-0.006696428571428571,A_uniform_hard_box,True,115,1,7
32,5000,3,-0.020089285714285716,-0.006696428571428571,-0.020089285714285716,-0.006696428571428571,A_uniform_hard_box,True,119,1,7
32,5000,3,-0.020089285714285716,-0.006696428571428571,-0.020089285714285716,-0.006696428571428571,A_uniform_hard_box,True,133,1,7
32,5000,3,-0.020089285714285716,-0.006696428571428571,-0.020089285714285716,-0.006696428571428571,A_uniform_hard_box,True,161,1,7
32,5000,0,-0.10491071428571429,-0.04241071428571429,-0.10491071428571429,-0.04241071428571429,B_exact_finite_discrete_gaussian,False,55,4,7
32,5000,0,-0.06919642857142858,-0.029017857142857144,-0.06473214285714286,-0.029017857142857144,B_exact_finite_discrete_gaussian,True,65,4,7
32,5000,0,-0.12276785714285714,-0.060267857142857144,-0.12276785714285714,-0.060267857142857144,B_exact_finite_discrete_gaussian,False,85,4,7
32,5000,0,-0.12276785714285714,-0.060267857142857144,-0.125,-0.060267857142857144,B_exact_finite_discrete_gaussian,False,95,4,7
32,5000,0,-0.11607142857142858,-0.049107142857142856,-0.11160714285714286,-0.049107142857142856,B_exact_finite_discrete_gaussian,False,115,4,7
32,5000,0,-0.12276785714285714,-0.060267857142857144,-0.12276785714285714,-0.060267857142857144,B_exact_finite_discrete_gaussian,False,119,4,7
32,5000,0,-0.12276785714285714,-0.060267857142857144,-0.12276785714285714,-0.060267857142857144,B_exact_finite_discrete_gaussian,False,133,4,7
32,5000,0,-0.12276785714285714,-0.060267857142857144,-0.12276785714285714,-0.060267857142857144,B_exact_finite_discrete_gaussian,False,161,4,7
32,5000,1,-0.09598214285714286,-0.03794642857142857,-0.09598214285714286,-0.03794642857142857,B_exact_finite_discrete_gaussian,True,55,3,7
32,5000,1,-0.06919642857142858,-0.029017857142857144,-0.06919642857142858,-0.029017857142857144,B_exact_finite_discrete_gaussian,True,65,3,7
32,5000,1,-0.11830357142857142,-0.05803571428571429,-0.11830357142857142,-0.05803571428571429,B_exact_finite_discrete_gaussian,False,85,3,7
32,5000,1,-0.11830357142857142,-0.05803571428571429,-0.11612723214285713,-0.05803571428571429,B_exact_finite_discrete_gaussian,False,95,3,7
32,5000,1,-0.10719866071428569,-0.049107142857142856,-0.11607142857142858,-0.049107142857142856,B_exact_finite_discrete_gaussian,False,115,3,7
32,5000,1,-0.11607142857142858,-0.05803571428571429,-0.11830357142857142,-0.05803571428571429,B_exact_finite_discrete_gaussian,False,119,3,7
32,5000,1,-0.11607142857142858,-0.05803571428571429,-0.11607142857142858,-0.05803571428571429,B_exact_finite_discrete_gaussian,False,133,3,7
32,5000,1,-0.11607142857142858,-0.05803571428571429,-0.11830357142857142,-0.05803571428571429,B_exact_finite_discrete_gaussian,False,161,3,7
32,5000,2,-0.03125,-0.013392857142857142,-0.03125,-0.013392857142857142,B_exact_finite_discrete_gaussian,True,55,2,7
32,5000,2,-0.026785714285714284,-0.011160714285714286,-0.024553571428571428,-0.011160714285714286,B_exact_finite_discrete_gaussian,True,65,2,7
32,5000,2,-0.04017857142857143,-0.020089285714285716,-0.03794642857142857,-0.020089285714285716,B_exact_finite_discrete_gaussian,True,85,2,7
32,5000,2,-0.04017857142857143,-0.020089285714285716,-0.03794642857142857,-0.020089285714285716,B_exact_finite_discrete_gaussian,True,95,2,7
32,5000,2,-0.03571428571428571,-0.015625,-0.03571428571428571,-0.015625,B_exact_finite_discrete_gaussian,True,115,2,7
32,5000,2,-0.04017857142857143,-0.020089285714285716,-0.04017857142857143,-0.020089285714285716,B_exact_finite_discrete_gaussian,True,119,2,7
32,5000,2,-0.04017857142857143,-0.020089285714285716,-0.04017857142857143,-0.020089285714285716,B_exact_finite_discrete_gaussian,True,133,2,7
32,5000,2,-0.03800223214285712,-0.020089285714285716,-0.04017857142857143,-0.020089285714285716,B_exact_finite_discrete_gaussian,True,161,2,7
32,5000,3,0.0,0.002232142857142857,0.0,0.002232142857142857,B_exact_finite_discrete_gaussian,True,55,1,7
32,5000,3,0.0,0.004464285714285714,0.0,0.004464285714285714,B_exact_finite_discrete_gaussian,True,65,1,7
32,5000,3,0.0,0.004464285714285714,0.0,0.004464285714285714,B_exact_finite_discrete_gaussian,True,85,1,7
32,5000,3,0.0,0.004464285714285714,0.0,0.004464285714285714,B_exact_finite_discrete_gaussian,True,95,1,7
32,5000,3,0.0,0.002232142857142857,0.0,0.002232142857142857,B_exact_finite_discrete_gaussian,True,115,1,7
32,5000,3,0.0,0.004464285714285714,0.0,0.004464285714285714,B_exact_finite_discrete_gaussian,True,119,1,7
32,5000,3,0.0,0.004464285714285714,0.0,0.004464285714285714,B_exact_finite_discrete_gaussian,True,133,1,7
32,5000,3,0.0,0.004464285714285714,0.0,0.004464285714285714,B_exact_finite_discrete_gaussian,True,161,1,7
