M,N_cluster_count,bootstrap_replicates,cutoff,empirically_safe,factor_cluster_ci95_high,factor_cluster_ci95_low,factor_mean_difference,lminus_cluster_ci95_high,lminus_cluster_ci95_low,lminus_mean_difference,margin,model,omitted_layers
8,8,5000,0,False,-0.013671875,-0.12890625,-0.064453125,-0.013671875,-0.12890625,-0.064453125,0.1,A_uniform_hard_box,2
8,8,5000,1,True,0.0,-0.02734375,-0.01171875,0.0,-0.02734375,-0.01171875,0.1,A_uniform_hard_box,1
8,8,5000,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.1,A_uniform_hard_box,0
8,8,5000,0,False,-0.0078125,-0.11337890624999997,-0.0546875,0.0,-0.119140625,-0.0546875,0.1,B_exact_finite_discrete_gaussian,2
8,8,5000,1,True,0.005859375,-0.01171875,-0.001953125,0.005859375,-0.01171875,-0.001953125,0.1,B_exact_finite_discrete_gaussian,1
8,8,5000,2,True,0.0,0.0,0.0,0.0,0.0,0.0,0.1,B_exact_finite_discrete_gaussian,0
16,8,5000,0,False,-0.03427734375001279,-0.29296875,-0.146484375,-0.03515625,-0.28125,-0.146484375,0.1,A_uniform_hard_box,3
16,8,5000,1,False,-0.021484375,-0.193359375,-0.09375,-0.021484375,-0.193359375,-0.09375,0.1,A_uniform_hard_box,2
16,8,5000,2,True,0.0,-0.013671875,-0.005859375,0.0,-0.013671875,-0.005859375,0.1,A_uniform_hard_box,1
16,8,5000,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.1,A_uniform_hard_box,0
16,8,5000,0,False,-0.0078125,-0.123046875,-0.056640625,-0.0078125,-0.123046875,-0.056640625,0.1,B_exact_finite_discrete_gaussian,3
16,8,5000,1,True,0.0,-0.07421875,-0.037109375,-0.0078125,-0.07421875,-0.037109375,0.1,B_exact_finite_discrete_gaussian,2
16,8,5000,2,True,0.0,-0.009765625,-0.00390625,0.0,-0.009765625,-0.00390625,0.1,B_exact_finite_discrete_gaussian,1
16,8,5000,3,True,0.0,0.0,0.0,0.0,0.0,0.0,0.1,B_exact_finite_discrete_gaussian,0
32,8,5000,0,False,0.0,-0.33403320312499996,-0.169921875,0.0,-0.33984375,-0.169921875,0.1,A_uniform_hard_box,4
32,8,5000,1,False,-0.041015625,-0.24609375,-0.123046875,-0.041015625,-0.24609375,-0.123046875,0.1,A_uniform_hard_box,3
32,8,5000,2,False,-0.005859375,-0.11328125,-0.05078125,0.0,-0.109375,-0.05078125,0.1,A_uniform_hard_box,2
32,8,5000,3,True,0.0,-0.017578125,-0.005859375,0.0,-0.017578125,-0.005859375,0.1,A_uniform_hard_box,1
32,8,5000,4,True,0.0,0.0,0.0,0.0,0.0,0.0,0.1,A_uniform_hard_box,0
32,8,5000,0,False,-0.009765625,-0.111328125,-0.052734375,-0.009765625,-0.107421875,-0.052734375,0.1,B_exact_finite_discrete_gaussian,4
32,8,5000,1,False,-0.0078125,-0.103515625,-0.05078125,-0.0078125,-0.103515625,-0.05078125,0.1,B_exact_finite_discrete_gaussian,3
32,8,5000,2,True,-0.00390625,-0.03515625,-0.017578125,-0.00390625,-0.03515625,-0.017578125,0.1,B_exact_finite_discrete_gaussian,2
32,8,5000,3,True,0.009765625,0.0,0.00390625,0.009765625,0.0,0.00390625,0.1,B_exact_finite_discrete_gaussian,1
32,8,5000,4,True,0.0,0.0,0.0,0.0,0.0,0.0,0.1,B_exact_finite_discrete_gaussian,0
