N,ci95_high,ci95_low,class_counts,cutoff,factor_recovery_probability,factor_successes,factors_used_for_tuning,mean_lll_seconds,model,replicates,sample_count,seed_base
35,0.7706633153404079,0.45254100589525126,"{""L0"": 15, ""L_minus_L0"": 29}",0,0.625,20,False,0.002024565053943661,A_uniform_hard_box,32,7,2026091142
35,0.6636938568314061,0.33630614316859386,"{""L0"": 9, ""L_minus_L0"": 20}",1,0.5,16,False,0.0020219583493599202,A_uniform_hard_box,32,7,2026091142
35,0.9944622826374491,0.8425539219962727,"{""L0"": 30, ""L_minus_L0"": 58}",2,0.96875,31,False,0.0020169635572528932,A_uniform_hard_box,32,7,2026091142
35,0.6913087009831766,0.3644923793257382,"{""L0"": 8, ""L_minus_L0"": 22}",0,0.53125,17,False,0.0020739972806040896,B_exact_finite_discrete_gaussian,32,7,2026091142
35,0.6355076206742619,0.30869129901682335,"{""L0"": 8, ""L_minus_L0"": 19}",1,0.46875,15,False,0.002100606776366476,B_exact_finite_discrete_gaussian,32,7,2026091142
35,1.0,0.8928172849426366,"{""L0"": 18, ""L_minus_L0"": 66}",2,1.0,32,False,0.002177953081627493,B_exact_finite_discrete_gaussian,32,7,2026091142
35,1.0,0.8928172849426366,"{""L0"": 32, ""L_minus_L0"": 64}",not_applicable,1.0,32,False,0.004765669185871957,C_theorem_noisy_dual,32,7,2026101142
77,0.6355076206742619,0.30869129901682335,"{""L0"": 12, ""L_minus_L0"": 16}",0,0.46875,15,False,0.002121265753885382,A_uniform_hard_box,32,7,2026091184
77,0.5168922649121406,0.20410233354328552,"{""L0"": 9, ""L_minus_L0"": 11}",1,0.34375,11,False,0.0021262369373289403,A_uniform_hard_box,32,7,2026091184
77,0.9111057606383721,0.6469050424507756,"{""L0"": 26, ""L_minus_L0"": 32}",2,0.8125,26,False,0.002148726502127829,A_uniform_hard_box,32,7,2026091184
77,0.42106891770246624,0.1325224398262155,"{""L0"": 7, ""L_minus_L0"": 8}",0,0.25,8,False,0.0021396498777903616,B_exact_finite_discrete_gaussian,32,7,2026091184
77,0.3875533079044484,0.11023696931531854,"{""L0"": 4, ""L_minus_L0"": 7}",1,0.21875,7,False,0.0021332226515369257,B_exact_finite_discrete_gaussian,32,7,2026091184
77,0.950299461555257,0.7193135021517204,"{""L0"": 27, ""L_minus_L0"": 31}",2,0.875,28,False,0.0021616159119730582,B_exact_finite_discrete_gaussian,32,7,2026091184
77,1.0,0.8928172849426366,"{""L0"": 63, ""L_minus_L0"": 33}",not_applicable,1.0,32,False,0.004996356778065092,C_theorem_noisy_dual,32,7,2026101184
143,0.6067469796877387,0.2816508596944317,"{""L0"": 9, ""L_minus_L0"": 16}",0,0.4375,14,False,0.002111165407768567,A_uniform_hard_box,32,7,2026091250
143,0.31754492553566527,0.06864319106627216,"{""L0"": 12, ""L_minus_L0"": 6}",1,0.15625,5,False,0.0021487382819032064,A_uniform_hard_box,32,7,2026091250
143,0.9944622826374491,0.8425539219962727,"{""L0"": 18, ""L_minus_L0"": 47}",2,0.96875,31,False,0.002216461067291675,A_uniform_hard_box,32,7,2026091250
143,0.6636938568314061,0.33630614316859386,"{""L0"": 9, ""L_minus_L0"": 19}",0,0.5,16,False,0.0021569466007349547,B_exact_finite_discrete_gaussian,32,7,2026091250
143,0.5168922649121406,0.20410233354328552,"{""L0"": 6, ""L_minus_L0"": 13}",1,0.34375,11,False,0.002139990909199696,B_exact_finite_discrete_gaussian,32,7,2026091250
143,0.9944622826374491,0.8425539219962727,"{""L0"": 19, ""L_minus_L0"": 43}",2,0.96875,31,False,0.0022440470620495034,B_exact_finite_discrete_gaussian,32,7,2026091250
143,1.0,0.8928172849426366,"{""L0"": 36, ""L_minus_L0"": 60}",not_applicable,1.0,32,False,0.005335121186362812,C_theorem_noisy_dual,32,7,2026101250
