N,grid_bound_for_d_M,maximum_realized_torus_error,model,modulus,noise_bound,oracle_hidden_from_recovery,sample_count,scale,seed,split,theorem_sufficient_inequality
77,8.259061849445711e-07,2.8354775906663295e-06,C_theorem_noisy_dual,1048576,5.112526712952075e-06,True,12,195598,2026071107,development,True
91,8.259061849445711e-07,2.789486054831906e-06,C_theorem_noisy_dual,1048576,5.0418473328627606e-06,True,12,198340,2026071108,development,True
143,8.259061849445711e-07,2.4201541023726795e-06,C_theorem_noisy_dual,1048576,4.855476734983224e-06,True,12,205953,2026071109,development,True
2279,8.259061849445711e-07,1.8430691667554394e-06,C_theorem_noisy_dual,1048576,3.855064977120189e-06,True,12,259399,2026072107,heldout,True
2419,8.259061849445711e-07,2.023716818568581e-06,C_theorem_noisy_dual,1048576,3.835959047301211e-06,True,12,260691,2026072108,heldout,True
2491,8.259061849445711e-07,2.42128785759965e-06,C_theorem_noisy_dual,1048576,3.82659406342197e-06,True,12,261329,2026072109,heldout,True
2501,8.259061849445711e-07,2.3737786216340367e-06,C_theorem_noisy_dual,1048576,3.825320561863084e-06,True,12,261416,2026072110,heldout,True
2537,8.259061849445711e-07,2.2602773023397032e-06,C_theorem_noisy_dual,1048576,3.820760484166768e-06,True,12,261728,2026072111,heldout,True
2623,8.259061849445711e-07,1.9963987336234806e-06,C_theorem_noisy_dual,1048576,3.8101624653275215e-06,True,12,262456,2026072112,heldout,True
2747,8.259061849445711e-07,1.967865119606847e-06,C_theorem_noisy_dual,1048576,3.795527350570088e-06,True,12,263468,2026072113,heldout,True
2773,8.259061849445711e-07,2.106747403343831e-06,C_theorem_noisy_dual,1048576,3.792547643879776e-06,True,12,263675,2026072114,heldout,True
2867,8.259061849445711e-07,2.1049374583469736e-06,C_theorem_noisy_dual,1048576,3.7820338265105445e-06,True,12,264408,2026072115,heldout,True
2881,8.259061849445711e-07,2.1049398976269413e-06,C_theorem_noisy_dual,1048576,3.780489649019341e-06,True,12,264516,2026072116,heldout,True
2911,8.259061849445711e-07,2.0860172895398594e-06,C_theorem_noisy_dual,1048576,3.777233856102499e-06,True,12,264744,2026072117,heldout,True
2993,8.259061849445711e-07,2.539154750591392e-06,C_theorem_noisy_dual,1048576,3.7684938837344266e-06,True,12,265358,2026072118,heldout,True
3053,8.259061849445711e-07,2.104521879133456e-06,C_theorem_noisy_dual,1048576,3.7622697020658623e-06,True,12,265797,2026072119,heldout,True
3127,8.259061849445711e-07,1.737553378491317e-06,C_theorem_noisy_dual,1048576,3.754768556066204e-06,True,12,266328,2026072120,heldout,True
3139,8.259061849445711e-07,1.5274069270554894e-06,C_theorem_noisy_dual,1048576,3.7535705840180473e-06,True,12,266413,2026072121,heldout,True
3149,8.259061849445711e-07,2.343336459567349e-06,C_theorem_noisy_dual,1048576,3.752570510799898e-06,True,12,266484,2026072122,heldout,True
3233,8.259061849445711e-07,2.1924079437136474e-06,C_theorem_noisy_dual,1048576,3.7443507108649827e-06,True,12,267069,2026072123,heldout,True
3337,8.259061849445711e-07,2.0285726456000285e-06,C_theorem_noisy_dual,1048576,3.7344925198114826e-06,True,12,267774,2026072124,heldout,True
3431,8.259061849445711e-07,2.132480599880018e-06,C_theorem_noisy_dual,1048576,3.7258518228730044e-06,True,12,268395,2026072125,heldout,True
3551,8.259061849445711e-07,2.2140468583154082e-06,C_theorem_noisy_dual,1048576,3.7151932829305445e-06,True,12,269165,2026072126,heldout,True
3599,8.259061849445711e-07,2.1953135333921634e-06,C_theorem_noisy_dual,1048576,3.7110433227197492e-06,True,12,269466,2026072127,heldout,True
3763,8.259061849445711e-07,2.001466148687659e-06,C_theorem_noisy_dual,1048576,3.697281388994672e-06,True,12,270469,2026072128,heldout,True
3977,8.259061849445711e-07,2.1324805999958697e-06,C_theorem_noisy_dual,1048576,3.680286179053283e-06,True,12,271718,2026072129,heldout,True
3953,8.259061849445711e-07,2.377098284028904e-06,C_theorem_noisy_dual,1048576,3.6821427124872504e-06,True,12,271581,2026072130,heldout,True
