algorithm,approximation_level,endpoint,instances,mean_controlled_phase_saving,mean_measured_tv,mean_task_difference,state_specific_certified_fraction,worst_case_certified_fraction
Regev,0,L_minus_L0,48,0.0,0.0,0.0,1.0,1.0
Regev,1,L_minus_L0,48,2.0,0.020587917442855565,-0.004231770833333333,0.4583333333333333,0.0
Regev,2,L_minus_L0,48,6.0,0.11152418854521674,-0.053059895833333336,0.10416666666666667,0.0
Regev,3,L_minus_L0,32,12.0,0.2765458203061722,-0.09423828125,0.0625,0.0
Regev,4,L_minus_L0,16,20.0,0.4059646614462935,-0.111328125,0.0625,0.0
Regev,0,factor,48,0.0,0.0,0.0,1.0,1.0
Regev,1,factor,48,2.0,0.020587917442855565,-0.004231770833333333,0.4583333333333333,0.0
Regev,2,factor,48,6.0,0.11152418854521674,-0.053059895833333336,0.10416666666666667,0.0
Regev,3,factor,32,12.0,0.2765458203061722,-0.09423828125,0.0625,0.0
Regev,4,factor,16,20.0,0.4059646614462935,-0.111328125,0.0625,0.0
Shor,0,factor,48,0.0,0.0,0.0,1.0,1.0
Shor,1,factor,48,1.0,8.039216070705806e-08,0.0,1.0,1.0
Shor,2,factor,48,3.0,6.348341719673274e-07,0.0,1.0,0.25
Shor,3,factor,48,6.0,6.753142122586924e-06,0.0,1.0,0.0
Shor,0,order,48,0.0,0.0,0.0,1.0,1.0
Shor,1,order,48,1.0,8.039216070705806e-08,0.0,1.0,1.0
Shor,2,order,48,3.0,6.348341719673274e-07,0.0,1.0,0.25
Shor,3,order,48,6.0,6.753142122586924e-06,0.0,1.0,0.0
