factor_ci95_low,factor_mean_difference,noninferior_at_0_10,omitted_instance,omitted_layers,order_ci95_low,order_mean_difference,readout_bitflip_probability,remaining_clusters,shots
0.0,0.0,True,35:11,1,0.0,0.0,0.0,7,4
0.0,0.0,True,35:2,1,0.0,0.0,0.0,7,4
0.0,0.0,True,39:2,1,0.0,0.0,0.0,7,4
0.0,0.0,True,51:2,1,0.0,0.0,0.0,7,4
0.0,0.0,True,55:2,1,0.0,0.0,0.0,7,4
0.0,0.0,True,65:3,1,0.0,0.0,0.0,7,4
0.0,0.0,True,77:8,1,0.0,0.0,0.0,7,4
0.0,0.0,True,91:9,1,0.0,0.0,0.0,7,4
0.0,0.0,True,35:11,2,0.0,0.0,0.0,7,4
0.0,0.0,True,35:2,2,0.0,0.0,0.0,7,4
0.0,0.0,True,39:2,2,0.0,0.0,0.0,7,4
0.0,0.0,True,51:2,2,0.0,0.0,0.0,7,4
0.0,0.0,True,55:2,2,0.0,0.0,0.0,7,4
0.0,0.0,True,65:3,2,0.0,0.0,0.0,7,4
0.0,0.0,True,77:8,2,0.0,0.0,0.0,7,4
0.0,0.0,True,91:9,2,0.0,0.0,0.0,7,4
0.0,0.0,True,35:11,3,0.0,0.0,0.0,7,4
0.0,0.0,True,35:2,3,0.0,0.0,0.0,7,4
0.0,0.0,True,39:2,3,0.0,0.0,0.0,7,4
0.0,0.0,True,51:2,3,0.0,0.0,0.0,7,4
0.0,0.0,True,55:2,3,0.0,0.0,0.0,7,4
0.0,0.0,True,65:3,3,0.0,0.0,0.0,7,4
0.0,0.0,True,77:8,3,0.0,0.0,0.0,7,4
0.0,0.0,True,91:9,3,0.0,0.0,0.0,7,4
0.0,0.0,True,35:11,1,0.0,0.0,0.01,7,4
0.0,0.0,True,35:2,1,0.0,0.0,0.01,7,4
0.0,0.0,True,39:2,1,0.0,0.0,0.01,7,4
0.0,0.0,True,51:2,1,0.0,0.0,0.01,7,4
0.0,0.0,True,55:2,1,0.0,0.0,0.01,7,4
0.0,0.0,True,65:3,1,0.0,0.0,0.01,7,4
0.0,0.0,True,77:8,1,0.0,0.0,0.01,7,4
0.0,0.0,True,91:9,1,0.0,0.0,0.01,7,4
0.0,0.0,True,35:11,2,0.0,0.0,0.01,7,4
0.0,0.0,True,35:2,2,0.0,0.0,0.01,7,4
0.0,0.0,True,39:2,2,0.0,0.0,0.01,7,4
0.0,0.0,True,51:2,2,0.0,0.0,0.01,7,4
0.0,0.0,True,55:2,2,0.0,0.0,0.01,7,4
0.0,0.0,True,65:3,2,0.0,0.0,0.01,7,4
0.0,0.0,True,77:8,2,0.0,0.0,0.01,7,4
0.0,0.0,True,91:9,2,0.0,0.0,0.01,7,4
0.0,0.0,True,35:11,3,0.0,0.0,0.01,7,4
0.0,0.0,True,35:2,3,0.0,0.0,0.01,7,4
0.0,0.0,True,39:2,3,0.0,0.0,0.01,7,4
0.0,0.0,True,51:2,3,0.0,0.0,0.01,7,4
0.0,0.0,True,55:2,3,0.0,0.0,0.01,7,4
0.0,0.0,True,65:3,3,0.0,0.0,0.01,7,4
0.0,0.0,True,77:8,3,0.0,0.0,0.01,7,4
0.0,0.0,True,91:9,3,0.0,0.0,0.01,7,4
0.0,0.0,True,35:11,1,0.0,0.0,0.0,7,8
0.0,0.0,True,35:2,1,0.0,0.0,0.0,7,8
0.0,0.0,True,39:2,1,0.0,0.0,0.0,7,8
0.0,0.0,True,51:2,1,0.0,0.0,0.0,7,8
0.0,0.0,True,55:2,1,0.0,0.0,0.0,7,8
0.0,0.0,True,65:3,1,0.0,0.0,0.0,7,8
0.0,0.0,True,77:8,1,0.0,0.0,0.0,7,8
0.0,0.0,True,91:9,1,0.0,0.0,0.0,7,8
0.0,0.0,True,35:11,2,0.0,0.0,0.0,7,8
0.0,0.0,True,35:2,2,0.0,0.0,0.0,7,8
0.0,0.0,True,39:2,2,0.0,0.0,0.0,7,8
0.0,0.0,True,51:2,2,0.0,0.0,0.0,7,8
0.0,0.0,True,55:2,2,0.0,0.0,0.0,7,8
0.0,0.0,True,65:3,2,0.0,0.0,0.0,7,8
0.0,0.0,True,77:8,2,0.0,0.0,0.0,7,8
0.0,0.0,True,91:9,2,0.0,0.0,0.0,7,8
0.0,0.0,True,35:11,3,0.0,0.0,0.0,7,8
0.0,0.0,True,35:2,3,0.0,0.0,0.0,7,8
0.0,0.0,True,39:2,3,0.0,0.0,0.0,7,8
0.0,0.0,True,51:2,3,0.0,0.0,0.0,7,8
0.0,0.0,True,55:2,3,0.0,0.0,0.0,7,8
0.0,0.0,True,65:3,3,0.0,0.0,0.0,7,8
0.0,0.0,True,77:8,3,0.0,0.0,0.0,7,8
0.0,0.0,True,91:9,3,0.0,0.0,0.0,7,8
0.0,0.0,True,35:11,1,0.0,0.0,0.01,7,8
0.0,0.0,True,35:2,1,0.0,0.0,0.01,7,8
0.0,0.0,True,39:2,1,0.0,0.0,0.01,7,8
0.0,0.0,True,51:2,1,0.0,0.0,0.01,7,8
0.0,0.0,True,55:2,1,0.0,0.0,0.01,7,8
0.0,0.0,True,65:3,1,0.0,0.0,0.01,7,8
0.0,0.0,True,77:8,1,0.0,0.0,0.01,7,8
0.0,0.0,True,91:9,1,0.0,0.0,0.01,7,8
0.0,0.0,True,35:11,2,0.0,0.0,0.01,7,8
0.0,0.0,True,35:2,2,0.0,0.0,0.01,7,8
0.0,0.0,True,39:2,2,0.0,0.0,0.01,7,8
0.0,0.0,True,51:2,2,0.0,0.0,0.01,7,8
0.0,0.0,True,55:2,2,0.0,0.0,0.01,7,8
0.0,0.0,True,65:3,2,0.0,0.0,0.01,7,8
0.0,0.0,True,77:8,2,0.0,0.0,0.01,7,8
0.0,0.0,True,91:9,2,0.0,0.0,0.01,7,8
0.0,0.0,True,35:11,3,0.0,0.0,0.01,7,8
0.0,0.0,True,35:2,3,0.0,0.0,0.01,7,8
0.0,0.0,True,39:2,3,0.0,0.0,0.01,7,8
0.0,0.0,True,51:2,3,0.0,0.0,0.01,7,8
0.0,0.0,True,55:2,3,0.0,0.0,0.01,7,8
0.0,0.0,True,65:3,3,0.0,0.0,0.01,7,8
0.0,0.0,True,77:8,3,0.0,0.0,0.01,7,8
0.0,0.0,True,91:9,3,0.0,0.0,0.01,7,8
0.0,0.0,True,35:11,1,0.0,0.0,0.0,7,16
0.0,0.0,True,35:2,1,0.0,0.0,0.0,7,16
0.0,0.0,True,39:2,1,0.0,0.0,0.0,7,16
0.0,0.0,True,51:2,1,0.0,0.0,0.0,7,16
0.0,0.0,True,55:2,1,0.0,0.0,0.0,7,16
0.0,0.0,True,65:3,1,0.0,0.0,0.0,7,16
0.0,0.0,True,77:8,1,0.0,0.0,0.0,7,16
0.0,0.0,True,91:9,1,0.0,0.0,0.0,7,16
0.0,0.0,True,35:11,2,0.0,0.0,0.0,7,16
0.0,0.0,True,35:2,2,0.0,0.0,0.0,7,16
0.0,0.0,True,39:2,2,0.0,0.0,0.0,7,16
0.0,0.0,True,51:2,2,0.0,0.0,0.0,7,16
0.0,0.0,True,55:2,2,0.0,0.0,0.0,7,16
0.0,0.0,True,65:3,2,0.0,0.0,0.0,7,16
0.0,0.0,True,77:8,2,0.0,0.0,0.0,7,16
0.0,0.0,True,91:9,2,0.0,0.0,0.0,7,16
0.0,0.0,True,35:11,3,0.0,0.0,0.0,7,16
0.0,0.0,True,35:2,3,0.0,0.0,0.0,7,16
0.0,0.0,True,39:2,3,0.0,0.0,0.0,7,16
0.0,0.0,True,51:2,3,0.0,0.0,0.0,7,16
0.0,0.0,True,55:2,3,0.0,0.0,0.0,7,16
0.0,0.0,True,65:3,3,0.0,0.0,0.0,7,16
0.0,0.0,True,77:8,3,0.0,0.0,0.0,7,16
0.0,0.0,True,91:9,3,0.0,0.0,0.0,7,16
0.0,0.0,True,35:11,1,0.0,0.0,0.01,7,16
0.0,0.0,True,35:2,1,0.0,0.0,0.01,7,16
0.0,0.0,True,39:2,1,0.0,0.0,0.01,7,16
0.0,0.0,True,51:2,1,0.0,0.0,0.01,7,16
0.0,0.0,True,55:2,1,0.0,0.0,0.01,7,16
0.0,0.0,True,65:3,1,0.0,0.0,0.01,7,16
0.0,0.0,True,77:8,1,0.0,0.0,0.01,7,16
0.0,0.0,True,91:9,1,0.0,0.0,0.01,7,16
0.0,0.0,True,35:11,2,0.0,0.0,0.01,7,16
0.0,0.0,True,35:2,2,0.0,0.0,0.01,7,16
0.0,0.0,True,39:2,2,0.0,0.0,0.01,7,16
0.0,0.0,True,51:2,2,0.0,0.0,0.01,7,16
0.0,0.0,True,55:2,2,0.0,0.0,0.01,7,16
0.0,0.0,True,65:3,2,0.0,0.0,0.01,7,16
0.0,0.0,True,77:8,2,0.0,0.0,0.01,7,16
0.0,0.0,True,91:9,2,0.0,0.0,0.01,7,16
0.0,0.0,True,35:11,3,0.0,0.0,0.01,7,16
0.0,0.0,True,35:2,3,0.0,0.0,0.01,7,16
0.0,0.0,True,39:2,3,0.0,0.0,0.01,7,16
0.0,0.0,True,51:2,3,0.0,0.0,0.01,7,16
0.0,0.0,True,55:2,3,0.0,0.0,0.01,7,16
0.0,0.0,True,65:3,3,0.0,0.0,0.01,7,16
0.0,0.0,True,77:8,3,0.0,0.0,0.01,7,16
0.0,0.0,True,91:9,3,0.0,0.0,0.01,7,16
