bootstrap_replicates,factor_ci95_high,factor_ci95_low,factor_mean_difference,instance_clusters,noninferior_at_0_10,omitted_layers,order_ci95_high,order_ci95_low,order_mean_difference,readout_bitflip_probability,shots
5000,0.0,0.0,0.0,8,True,0,0.0,0.0,0.0,0.0,4
5000,0.0,0.0,0.0,8,True,1,0.0,0.0,0.0,0.0,4
5000,0.0,0.0,0.0,8,True,2,0.0,0.0,0.0,0.0,4
5000,0.0,0.0,0.0,8,True,3,0.0,0.0,0.0,0.0,4
5000,0.0,0.0,0.0,8,True,0,0.0,0.0,0.0,0.01,4
5000,0.0,0.0,0.0,8,True,1,0.0,0.0,0.0,0.01,4
5000,0.0,0.0,0.0,8,True,2,0.0,0.0,0.0,0.01,4
5000,0.0,0.0,0.0,8,True,3,0.0,0.0,0.0,0.01,4
5000,0.0,0.0,0.0,8,True,0,0.0,0.0,0.0,0.0,8
5000,0.0,0.0,0.0,8,True,1,0.0,0.0,0.0,0.0,8
5000,0.0,0.0,0.0,8,True,2,0.0,0.0,0.0,0.0,8
5000,0.0,0.0,0.0,8,True,3,0.0,0.0,0.0,0.0,8
5000,0.0,0.0,0.0,8,True,0,0.0,0.0,0.0,0.01,8
5000,0.0,0.0,0.0,8,True,1,0.0,0.0,0.0,0.01,8
5000,0.0,0.0,0.0,8,True,2,0.0,0.0,0.0,0.01,8
5000,0.0,0.0,0.0,8,True,3,0.0,0.0,0.0,0.01,8
5000,0.0,0.0,0.0,8,True,0,0.0,0.0,0.0,0.0,16
5000,0.0,0.0,0.0,8,True,1,0.0,0.0,0.0,0.0,16
5000,0.0,0.0,0.0,8,True,2,0.0,0.0,0.0,0.0,16
5000,0.0,0.0,0.0,8,True,3,0.0,0.0,0.0,0.0,16
5000,0.0,0.0,0.0,8,True,0,0.0,0.0,0.0,0.01,16
5000,0.0,0.0,0.0,8,True,1,0.0,0.0,0.0,0.01,16
5000,0.0,0.0,0.0,8,True,2,0.0,0.0,0.0,0.01,16
5000,0.0,0.0,0.0,8,True,3,0.0,0.0,0.0,0.01,16
